GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,TRUSTA,RES_ONLYA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RNHE001,RR7E001,NAME_M,RNHM001,RR7M001
"G1900930","2005-2009",,,"Iowa","19","Ida County","093",,,,,,,,,,,,,,,,,,,,,,,,,,"Ida County, Iowa",43171,73800,"Ida County, Iowa",2830,3964
"G1900950","2005-2009",,,"Iowa","19","Iowa County","095",,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa County, Iowa",55496,122500,"Iowa County, Iowa",2745,6014
"G1900970","2005-2009",,,"Iowa","19","Jackson County","097",,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Iowa",43946,103800,"Jackson County, Iowa",2678,6913
"G1900990","2005-2009",,,"Iowa","19","Jasper County","099",,,,,,,,,,,,,,,,,,,,,,,,,,"Jasper County, Iowa",47432,114300,"Jasper County, Iowa",1566,4250
"G1901010","2005-2009",,,"Iowa","19","Jefferson County","101",,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Iowa",39383,88400,"Jefferson County, Iowa",3850,4864
"G1901030","2005-2009",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Iowa",49413,173400,"Johnson County, Iowa",1197,2873
"G1901050","2005-2009",,,"Iowa","19","Jones County","105",,,,,,,,,,,,,,,,,,,,,,,,,,"Jones County, Iowa",47017,102000,"Jones County, Iowa",3572,5696
"G1901070","2005-2009",,,"Iowa","19","Keokuk County","107",,,,,,,,,,,,,,,,,,,,,,,,,,"Keokuk County, Iowa",42196,73000,"Keokuk County, Iowa",2433,3075
"G1901090","2005-2009",,,"Iowa","19","Kossuth County","109",,,,,,,,,,,,,,,,,,,,,,,,,,"Kossuth County, Iowa",46176,79200,"Kossuth County, Iowa",3255,3411
"G1901110","2005-2009",,,"Iowa","19","Lee County","111",,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Iowa",41700,76200,"Lee County, Iowa",1499,3189
"G1901130","2005-2009",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,,,,,,,,,"Linn County, Iowa",52642,132600,"Linn County, Iowa",1098,1571
"G1901150","2005-2009",,,"Iowa","19","Louisa County","115",,,,,,,,,,,,,,,,,,,,,,,,,,"Louisa County, Iowa",47948,85700,"Louisa County, Iowa",2158,3373
"G1901170","2005-2009",,,"Iowa","19","Lucas County","117",,,,,,,,,,,,,,,,,,,,,,,,,,"Lucas County, Iowa",43606,80400,"Lucas County, Iowa",3550,6993
"G1901190","2005-2009",,,"Iowa","19","Lyon County","119",,,,,,,,,,,,,,,,,,,,,,,,,,"Lyon County, Iowa",49838,94500,"Lyon County, Iowa",3317,4031
"G1901210","2005-2009",,,"Iowa","19","Madison County","121",,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Iowa",57690,141500,"Madison County, Iowa",2869,6432
"G1901230","2005-2009",,,"Iowa","19","Mahaska County","123",,,,,,,,,,,,,,,,,,,,,,,,,,"Mahaska County, Iowa",44713,92200,"Mahaska County, Iowa",2223,3924
"G1901250","2005-2009",,,"Iowa","19","Marion County","125",,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Iowa",52053,129100,"Marion County, Iowa",2112,7240
"G1901270","2005-2009",,,"Iowa","19","Marshall County","127",,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Iowa",45870,98300,"Marshall County, Iowa",2346,2220
"G1901290","2005-2009",,,"Iowa","19","Mills County","129",,,,,,,,,,,,,,,,,,,,,,,,,,"Mills County, Iowa",56450,138600,"Mills County, Iowa",3050,6965
"G1901310","2005-2009",,,"Iowa","19","Mitchell County","131",,,,,,,,,,,,,,,,,,,,,,,,,,"Mitchell County, Iowa",48397,102700,"Mitchell County, Iowa",2897,6837
"G1901330","2005-2009",,,"Iowa","19","Monona County","133",,,,,,,,,,,,,,,,,,,,,,,,,,"Monona County, Iowa",38670,66400,"Monona County, Iowa",2703,4630
"G1901350","2005-2009",,,"Iowa","19","Monroe County","135",,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Iowa",39632,76000,"Monroe County, Iowa",3462,8970
"G1901370","2005-2009",,,"Iowa","19","Montgomery County","137",,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Iowa",37917,79600,"Montgomery County, Iowa",2518,5317
"G1901390","2005-2009",,,"Iowa","19","Muscatine County","139",,,,,,,,,,,,,,,,,,,,,,,,,,"Muscatine County, Iowa",50188,118700,"Muscatine County, Iowa",1713,4444
"G1901410","2005-2009",,,"Iowa","19","O'Brien County","141",,,,,,,,,,,,,,,,,,,,,,,,,,"O'Brien County, Iowa",43024,78600,"O'Brien County, Iowa",2047,3318
"G1901430","2005-2009",,,"Iowa","19","Osceola County","143",,,,,,,,,,,,,,,,,,,,,,,,,,"Osceola County, Iowa",38691,68600,"Osceola County, Iowa",3478,7259
"G1901450","2005-2009",,,"Iowa","19","Page County","145",,,,,,,,,,,,,,,,,,,,,,,,,,"Page County, Iowa",41213,82400,"Page County, Iowa",2339,3319
"G1901470","2005-2009",,,"Iowa","19","Palo Alto County","147",,,,,,,,,,,,,,,,,,,,,,,,,,"Palo Alto County, Iowa",39555,70400,"Palo Alto County, Iowa",3378,5213
"G1901490","2005-2009",,,"Iowa","19","Plymouth County","149",,,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth County, Iowa",54226,118200,"Plymouth County, Iowa",2837,4599
"G1901510","2005-2009",,,"Iowa","19","Pocahontas County","151",,,,,,,,,,,,,,,,,,,,,,,,,,"Pocahontas County, Iowa",41119,56600,"Pocahontas County, Iowa",2664,3705
"G1901530","2005-2009",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,,,,,,,,,"Polk County, Iowa",55915,147700,"Polk County, Iowa",840,1068
"G1901550","2005-2009",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,,,,,,,,,"Pottawattamie County, Iowa",49192,123300,"Pottawattamie County, Iowa",1503,2449
"G1901570","2005-2009",,,"Iowa","19","Poweshiek County","157",,,,,,,,,,,,,,,,,,,,,,,,,,"Poweshiek County, Iowa",50202,110400,"Poweshiek County, Iowa",3753,5379
"G1901590","2005-2009",,,"Iowa","19","Ringgold County","159",,,,,,,,,,,,,,,,,,,,,,,,,,"Ringgold County, Iowa",42367,82800,"Ringgold County, Iowa",4251,5274
"G1901610","2005-2009",,,"Iowa","19","Sac County","161",,,,,,,,,,,,,,,,,,,,,,,,,,"Sac County, Iowa",40613,71900,"Sac County, Iowa",2244,3077
"G1901630","2005-2009",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,,,,,,,,,"Scott County, Iowa",50656,129300,"Scott County, Iowa",1134,2253
"G1901650","2005-2009",,,"Iowa","19","Shelby County","165",,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Iowa",43420,98400,"Shelby County, Iowa",2180,5157
"G1901670","2005-2009",,,"Iowa","19","Sioux County","167",,,,,,,,,,,,,,,,,,,,,,,,,,"Sioux County, Iowa",49272,112900,"Sioux County, Iowa",1683,3286
"G1901690","2005-2009",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,,,,,,,,,"Story County, Iowa",45594,152100,"Story County, Iowa",1735,3084
"G1901710","2005-2009",,,"Iowa","19","Tama County","171",,,,,,,,,,,,,,,,,,,,,,,,,,"Tama County, Iowa",45691,97700,"Tama County, Iowa",2345,4595
"G1901730","2005-2009",,,"Iowa","19","Taylor County","173",,,,,,,,,,,,,,,,,,,,,,,,,,"Taylor County, Iowa",37987,62900,"Taylor County, Iowa",1856,4491
"G1901750","2005-2009",,,"Iowa","19","Union County","175",,,,,,,,,,,,,,,,,,,,,,,,,,"Union County, Iowa",42229,84600,"Union County, Iowa",2876,4851
"G1901770","2005-2009",,,"Iowa","19","Van Buren County","177",,,,,,,,,,,,,,,,,,,,,,,,,,"Van Buren County, Iowa",42797,66600,"Van Buren County, Iowa",3322,5685
"G1901790","2005-2009",,,"Iowa","19","Wapello County","179",,,,,,,,,,,,,,,,,,,,,,,,,,"Wapello County, Iowa",38619,74500,"Wapello County, Iowa",1498,2401
"G1901810","2005-2009",,,"Iowa","19","Warren County","181",,,,,,,,,,,,,,,,,,,,,,,,,,"Warren County, Iowa",60609,148800,"Warren County, Iowa",1825,3066
"G1901830","2005-2009",,,"Iowa","19","Washington County","183",,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Iowa",50201,117800,"Washington County, Iowa",2123,4763
"G1901850","2005-2009",,,"Iowa","19","Wayne County","185",,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County, Iowa",35332,56300,"Wayne County, Iowa",1882,3012
"G1901870","2005-2009",,,"Iowa","19","Webster County","187",,,,,,,,,,,,,,,,,,,,,,,,,,"Webster County, Iowa",40772,84600,"Webster County, Iowa",1719,2390
"G1901890","2005-2009",,,"Iowa","19","Winnebago County","189",,,,,,,,,,,,,,,,,,,,,,,,,,"Winnebago County, Iowa",39694,86900,"Winnebago County, Iowa",2182,3315
"G1901910","2005-2009",,,"Iowa","19","Winneshiek County","191",,,,,,,,,,,,,,,,,,,,,,,,,,"Winneshiek County, Iowa",49645,143500,"Winneshiek County, Iowa",3129,5758
"G1901930","2005-2009",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,,,,,,,,,"Woodbury County, Iowa",44656,92000,"Woodbury County, Iowa",1311,1821
"G1901950","2005-2009",,,"Iowa","19","Worth County","195",,,,,,,,,,,,,,,,,,,,,,,,,,"Worth County, Iowa",49871,90800,"Worth County, Iowa",1806,4379
"G1901970","2005-2009",,,"Iowa","19","Wright County","197",,,,,,,,,,,,,,,,,,,,,,,,,,"Wright County, Iowa",42859,71600,"Wright County, Iowa",2570,4363
"G2000010","2005-2009",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,,,,,,,,,,,,"Allen County, Kansas",39328,63300,"Allen County, Kansas",3014,4282
"G2000030","2005-2009",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson County, Kansas",40212,86600,"Anderson County, Kansas",3355,6677
"G2000050","2005-2009",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,,,,,,,,,,,,"Atchison County, Kansas",45146,85900,"Atchison County, Kansas",5706,3321
"G2000070","2005-2009",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,,,,,,,,,,,,"Barber County, Kansas",38497,52400,"Barber County, Kansas",3212,4607
"G2000090","2005-2009",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,,,,,,,,,,,,"Barton County, Kansas",42103,65900,"Barton County, Kansas",1738,3238
"G2000110","2005-2009",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,,,,,,,,,,,,"Bourbon County, Kansas",36651,70100,"Bourbon County, Kansas",2785,5149
"G2000130","2005-2009",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,"Brown County, Kansas",37066,71500,"Brown County, Kansas",1992,5457
"G2000150","2005-2009",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Kansas",56077,116800,"Butler County, Kansas",1630,3154
"G2000170","2005-2009",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,,,,,,,,,,,,"Chase County, Kansas",41719,83100,"Chase County, Kansas",5887,9899
"G2000190","2005-2009",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,,,,,,,,,,,,"Chautauqua County, Kansas",35433,53800,"Chautauqua County, Kansas",4039,10532
"G2000210","2005-2009",,,"Kansas","20","Cherokee County","021",,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Kansas",36521,63300,"Cherokee County, Kansas",2187,4123
"G2000230","2005-2009",,,"Kansas","20","Cheyenne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,"Cheyenne County, Kansas",30250,66900,"Cheyenne County, Kansas",6730,7675
"G2000250","2005-2009",,,"Kansas","20","Clark County","025",,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Kansas",35701,59800,"Clark County, Kansas",3440,5197
"G2000270","2005-2009",,,"Kansas","20","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Kansas",39044,82200,"Clay County, Kansas",1947,7132
"G2000290","2005-2009",,,"Kansas","20","Cloud County","029",,,,,,,,,,,,,,,,,,,,,,,,,,"Cloud County, Kansas",33517,60400,"Cloud County, Kansas",2874,3921
"G2000310","2005-2009",,,"Kansas","20","Coffey County","031",,,,,,,,,,,,,,,,,,,,,,,,,,"Coffey County, Kansas",47420,92500,"Coffey County, Kansas",3463,6650
"G2000330","2005-2009",,,"Kansas","20","Comanche County","033",,,,,,,,,,,,,,,,,,,,,,,,,,"Comanche County, Kansas",40781,39500,"Comanche County, Kansas",5296,5252
"G2000350","2005-2009",,,"Kansas","20","Cowley County","035",,,,,,,,,,,,,,,,,,,,,,,,,,"Cowley County, Kansas",40229,75500,"Cowley County, Kansas",1960,2845
"G2000370","2005-2009",,,"Kansas","20","Crawford County","037",,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Kansas",34181,81500,"Crawford County, Kansas",1430,3005
"G2000390","2005-2009",,,"Kansas","20","Decatur County","039",,,,,,,,,,,,,,,,,,,,,,,,,,"Decatur County, Kansas",34268,47400,"Decatur County, Kansas",5991,3745
"G2000410","2005-2009",,,"Kansas","20","Dickinson County","041",,,,,,,,,,,,,,,,,,,,,,,,,,"Dickinson County, Kansas",45198,92500,"Dickinson County, Kansas",1465,4702
"G2000430","2005-2009",,,"Kansas","20","Doniphan County","043",,,,,,,,,,,,,,,,,,,,,,,,,,"Doniphan County, Kansas",40238,82200,"Doniphan County, Kansas",1959,3175
"G2000450","2005-2009",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,,,,,,,,,"Douglas County, Kansas",44835,172300,"Douglas County, Kansas",1529,2717
"G2000470","2005-2009",,,"Kansas","20","Edwards County","047",,,,,,,,,,,,,,,,,,,,,,,,,,"Edwards County, Kansas",37682,49900,"Edwards County, Kansas",5059,4204
"G2000490","2005-2009",,,"Kansas","20","Elk County","049",,,,,,,,,,,,,,,,,,,,,,,,,,"Elk County, Kansas",31361,53900,"Elk County, Kansas",2823,8432
"G2000510","2005-2009",,,"Kansas","20","Ellis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,"Ellis County, Kansas",41704,117400,"Ellis County, Kansas",3512,4654
"G2000530","2005-2009",,,"Kansas","20","Ellsworth County","053",,,,,,,,,,,,,,,,,,,,,,,,,,"Ellsworth County, Kansas",43418,64200,"Ellsworth County, Kansas",2580,4801
"G2000550","2005-2009",,,"Kansas","20","Finney County","055",,,,,,,,,,,,,,,,,,,,,,,,,,"Finney County, Kansas",48819,97900,"Finney County, Kansas",2375,3479
"G2000570","2005-2009",,,"Kansas","20","Ford County","057",,,,,,,,,,,,,,,,,,,,,,,,,,"Ford County, Kansas",45442,82300,"Ford County, Kansas",2263,3508
"G2000590","2005-2009",,,"Kansas","20","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Kansas",47767,115600,"Franklin County, Kansas",3738,4602
"G2000610","2005-2009",,,"Kansas","20","Geary County","061",,,,,,,,,,,,,,,,,,,,,,,,,,"Geary County, Kansas",43890,110700,"Geary County, Kansas",1138,7794
"G2000630","2005-2009",,,"Kansas","20","Gove County","063",,,,,,,,,,,,,,,,,,,,,,,,,,"Gove County, Kansas",38701,66400,"Gove County, Kansas",2931,4707
"G2000650","2005-2009",,,"Kansas","20","Graham County","065",,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Kansas",40677,61300,"Graham County, Kansas",4990,7226
"G2000670","2005-2009",,,"Kansas","20","Grant County","067",,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Kansas",55951,85900,"Grant County, Kansas",5491,3528
"G2000690","2005-2009",,,"Kansas","20","Gray County","069",,,,,,,,,,,,,,,,,,,,,,,,,,"Gray County, Kansas",48654,91800,"Gray County, Kansas",4487,9224
"G2000710","2005-2009",,,"Kansas","20","Greeley County","071",,,,,,,,,,,,,,,,,,,,,,,,,,"Greeley County, Kansas",47156,66000,"Greeley County, Kansas",8156,4633
"G2000730","2005-2009",,,"Kansas","20","Greenwood County","073",,,,,,,,,,,,,,,,,,,,,,,,,,"Greenwood County, Kansas",36424,48100,"Greenwood County, Kansas",3968,4338
"G2000750","2005-2009",,,"Kansas","20","Hamilton County","075",,,,,,,,,,,,,,,,,,,,,,,,,,"Hamilton County, Kansas",34478,71600,"Hamilton County, Kansas",2584,7733
"G2000770","2005-2009",,,"Kansas","20","Harper County","077",,,,,,,,,,,,,,,,,,,,,,,,,,"Harper County, Kansas",38529,61900,"Harper County, Kansas",2998,5215
"G2000790","2005-2009",,,"Kansas","20","Harvey County","079",,,,,,,,,,,,,,,,,,,,,,,,,,"Harvey County, Kansas",47344,100400,"Harvey County, Kansas",1977,3797
"G2000810","2005-2009",,,"Kansas","20","Haskell County","081",,,,,,,,,,,,,,,,,,,,,,,,,,"Haskell County, Kansas",52649,87100,"Haskell County, Kansas",6291,4241
"G2000830","2005-2009",,,"Kansas","20","Hodgeman County","083",,,,,,,,,,,,,,,,,,,,,,,,,,"Hodgeman County, Kansas",41078,66700,"Hodgeman County, Kansas",3656,7342
"G2000850","2005-2009",,,"Kansas","20","Jackson County","085",,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Kansas",51650,110900,"Jackson County, Kansas",2714,4851
"G2000870","2005-2009",,,"Kansas","20","Jefferson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Kansas",56593,129800,"Jefferson County, Kansas",2431,5660
"G2000890","2005-2009",,,"Kansas","20","Jewell County","089",,,,,,,,,,,,,,,,,,,,,,,,,,"Jewell County, Kansas",37500,43800,"Jewell County, Kansas",3286,4487
"G2000910","2005-2009",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Kansas",73487,206700,"Johnson County, Kansas",770,1594
"G2000930","2005-2009",,,"Kansas","20","Kearny County","093",,,,,,,,,,,,,,,,,,,,,,,,,,"Kearny County, Kansas",40965,81700,"Kearny County, Kansas",3890,6038
"G2000950","2005-2009",,,"Kansas","20","Kingman County","095",,,,,,,,,,,,,,,,,,,,,,,,,,"Kingman County, Kansas",44032,76600,"Kingman County, Kansas",3997,4617
"G2000970","2005-2009",,,"Kansas","20","Kiowa County","097",,,,,,,,,,,,,,,,,,,,,,,,,,"Kiowa County, Kansas",38750,70600,"Kiowa County, Kansas",3041,8145
"G2000990","2005-2009",,,"Kansas","20","Labette County","099",,,,,,,,,,,,,,,,,,,,,,,,,,"Labette County, Kansas",37674,62100,"Labette County, Kansas",2242,2986
"G2001010","2005-2009",,,"Kansas","20","Lane County","101",,,,,,,,,,,,,,,,,,,,,,,,,,"Lane County, Kansas",40265,45900,"Lane County, Kansas",4117,11763
"G2001030","2005-2009",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,,,,,,,,,"Leavenworth County, Kansas",59515,160300,"Leavenworth County, Kansas",2116,3063
"G2001050","2005-2009",,,"Kansas","20","Lincoln County","105",,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Kansas",40123,65000,"Lincoln County, Kansas",2686,6138
"G2001070","2005-2009",,,"Kansas","20","Linn County","107",,,,,,,,,,,,,,,,,,,,,,,,,,"Linn County, Kansas",44363,93700,"Linn County, Kansas",4737,9474
"G2001090","2005-2009",,,"Kansas","20","Logan County","109",,,,,,,,,,,,,,,,,,,,,,,,,,"Logan County, Kansas",35121,66500,"Logan County, Kansas",5031,7350
"G2001110","2005-2009",,,"Kansas","20","Lyon County","111",,,,,,,,,,,,,,,,,,,,,,,,,,"Lyon County, Kansas",35949,91000,"Lyon County, Kansas",1999,4381
"G2001130","2005-2009",,,"Kansas","20","McPherson County","113",,,,,,,,,,,,,,,,,,,,,,,,,,"McPherson County, Kansas",50501,112400,"McPherson County, Kansas",2320,4101
"G2001150","2005-2009",,,"Kansas","20","Marion County","115",,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Kansas",42706,78400,"Marion County, Kansas",2262,4338
"G2001170","2005-2009",,,"Kansas","20","Marshall County","117",,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Kansas",42328,71400,"Marshall County, Kansas",2151,4773
"G2001190","2005-2009",,,"Kansas","20","Meade County","119",,,,,,,,,,,,,,,,,,,,,,,,,,"Meade County, Kansas",45292,74300,"Meade County, Kansas",3833,9740
"G2001210","2005-2009",,,"Kansas","20","Miami County","121",,,,,,,,,,,,,,,,,,,,,,,,,,"Miami County, Kansas",59888,163200,"Miami County, Kansas",3086,4995
"G2001230","2005-2009",,,"Kansas","20","Mitchell County","123",,,,,,,,,,,,,,,,,,,,,,,,,,"Mitchell County, Kansas",43537,66100,"Mitchell County, Kansas",3537,5962
"G2001250","2005-2009",,,"Kansas","20","Montgomery County","125",,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Kansas",37927,64600,"Montgomery County, Kansas",2832,3284
"G2001270","2005-2009",,,"Kansas","20","Morris County","127",,,,,,,,,,,,,,,,,,,,,,,,,,"Morris County, Kansas",39020,72600,"Morris County, Kansas",5968,7151
"G2001290","2005-2009",,,"Kansas","20","Morton County","129",,,,,,,,,,,,,,,,,,,,,,,,,,"Morton County, Kansas",41011,59800,"Morton County, Kansas",6168,4699
"G2001310","2005-2009",,,"Kansas","20","Nemaha County","131",,,,,,,,,,,,,,,,,,,,,,,,,,"Nemaha County, Kansas",46265,80900,"Nemaha County, Kansas",2482,4559
"G2001330","2005-2009",,,"Kansas","20","Neosho County","133",,,,,,,,,,,,,,,,,,,,,,,,,,"Neosho County, Kansas",36226,70100,"Neosho County, Kansas",2190,3949
"G2001350","2005-2009",,,"Kansas","20","Ness County","135",,,,,,,,,,,,,,,,,,,,,,,,,,"Ness County, Kansas",42500,48800,"Ness County, Kansas",4062,4994
"G2001370","2005-2009",,,"Kansas","20","Norton County","137",,,,,,,,,,,,,,,,,,,,,,,,,,"Norton County, Kansas",34840,51200,"Norton County, Kansas",5929,7923
"G2001390","2005-2009",,,"Kansas","20","Osage County","139",,,,,,,,,,,,,,,,,,,,,,,,,,"Osage County, Kansas",47500,92900,"Osage County, Kansas",3001,5716
"G2001410","2005-2009",,,"Kansas","20","Osborne County","141",,,,,,,,,,,,,,,,,,,,,,,,,,"Osborne County, Kansas",33521,39700,"Osborne County, Kansas",2719,6415
"G2001430","2005-2009",,,"Kansas","20","Ottawa County","143",,,,,,,,,,,,,,,,,,,,,,,,,,"Ottawa County, Kansas",47350,83100,"Ottawa County, Kansas",6420,4345
"G2001450","2005-2009",,,"Kansas","20","Pawnee County","145",,,,,,,,,,,,,,,,,,,,,,,,,,"Pawnee County, Kansas",38725,59600,"Pawnee County, Kansas",4293,9500
"G2001470","2005-2009",,,"Kansas","20","Phillips County","147",,,,,,,,,,,,,,,,,,,,,,,,,,"Phillips County, Kansas",43750,57100,"Phillips County, Kansas",3020,4238
"G2001490","2005-2009",,,"Kansas","20","Pottawatomie County","149",,,,,,,,,,,,,,,,,,,,,,,,,,"Pottawatomie County, Kansas",51716,124600,"Pottawatomie County, Kansas",2549,9453
"G2001510","2005-2009",,,"Kansas","20","Pratt County","151",,,,,,,,,,,,,,,,,,,,,,,,,,"Pratt County, Kansas",43545,71300,"Pratt County, Kansas",5333,6081
"G2001530","2005-2009",,,"Kansas","20","Rawlins County","153",,,,,,,,,,,,,,,,,,,,,,,,,,"Rawlins County, Kansas",34444,54800,"Rawlins County, Kansas",4061,3235
"G2001550","2005-2009",,,"Kansas","20","Reno County","155",,,,,,,,,,,,,,,,,,,,,,,,,,"Reno County, Kansas",41365,86800,"Reno County, Kansas",1417,2151
"G2001570","2005-2009",,,"Kansas","20","Republic County","157",,,,,,,,,,,,,,,,,,,,,,,,,,"Republic County, Kansas",36510,46000,"Republic County, Kansas",2478,3838
"G2001590","2005-2009",,,"Kansas","20","Rice County","159",,,,,,,,,,,,,,,,,,,,,,,,,,"Rice County, Kansas",43592,63200,"Rice County, Kansas",1501,5090
"G2001610","2005-2009",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,,,,,,,,,"Riley County, Kansas",37225,148600,"Riley County, Kansas",1422,4374
"G2001630","2005-2009",,,"Kansas","20","Rooks County","163",,,,,,,,,,,,,,,,,,,,,,,,,,"Rooks County, Kansas",38013,60100,"Rooks County, Kansas",3348,4372
"G2001650","2005-2009",,,"Kansas","20","Rush County","165",,,,,,,,,,,,,,,,,,,,,,,,,,"Rush County, Kansas",38263,47900,"Rush County, Kansas",2572,5585
"G2001670","2005-2009",,,"Kansas","20","Russell County","167",,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Kansas",37000,64400,"Russell County, Kansas",4725,6424
"G2001690","2005-2009",,,"Kansas","20","Saline County","169",,,,,,,,,,,,,,,,,,,,,,,,,,"Saline County, Kansas",43850,108300,"Saline County, Kansas",1949,3741
"G2001710","2005-2009",,,"Kansas","20","Scott County","171",,,,,,,,,,,,,,,,,,,,,,,,,,"Scott County, Kansas",57843,91800,"Scott County, Kansas",5562,17424
"G2001730","2005-2009",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,,,,,,,,,"Sedgwick County, Kansas",47768,113600,"Sedgwick County, Kansas",632,1221
"G2001750","2005-2009",,,"Kansas","20","Seward County","175",,,,,,,,,,,,,,,,,,,,,,,,,,"Seward County, Kansas",41290,78400,"Seward County, Kansas",2534,4364
"G2001770","2005-2009",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,,,,,,,,,"Shawnee County, Kansas",46955,112200,"Shawnee County, Kansas",1373,1989
"G2001790","2005-2009",,,"Kansas","20","Sheridan County","179",,,,,,,,,,,,,,,,,,,,,,,,,,"Sheridan County, Kansas",46520,85600,"Sheridan County, Kansas",5335,5509
"G2001810","2005-2009",,,"Kansas","20","Sherman County","181",,,,,,,,,,,,,,,,,,,,,,,,,,"Sherman County, Kansas",40325,81400,"Sherman County, Kansas",4048,8479
"G2001830","2005-2009",,,"Kansas","20","Smith County","183",,,,,,,,,,,,,,,,,,,,,,,,,,"Smith County, Kansas",38347,53300,"Smith County, Kansas",3982,7170
"G2001850","2005-2009",,,"Kansas","20","Stafford County","185",,,,,,,,,,,,,,,,,,,,,,,,,,"Stafford County, Kansas",37093,47000,"Stafford County, Kansas",2342,3895
"G2001870","2005-2009",,,"Kansas","20","Stanton County","187",,,,,,,,,,,,,,,,,,,,,,,,,,"Stanton County, Kansas",46875,73900,"Stanton County, Kansas",4561,16419
"G2001890","2005-2009",,,"Kansas","20","Stevens County","189",,,,,,,,,,,,,,,,,,,,,,,,,,"Stevens County, Kansas",49966,80200,"Stevens County, Kansas",7593,6206
"G2001910","2005-2009",,,"Kansas","20","Sumner County","191",,,,,,,,,,,,,,,,,,,,,,,,,,"Sumner County, Kansas",48848,81400,"Sumner County, Kansas",2598,2712
"G2001930","2005-2009",,,"Kansas","20","Thomas County","193",,,,,,,,,,,,,,,,,,,,,,,,,,"Thomas County, Kansas",41541,84100,"Thomas County, Kansas",4348,6142
"G2001950","2005-2009",,,"Kansas","20","Trego County","195",,,,,,,,,,,,,,,,,,,,,,,,,,"Trego County, Kansas",37463,71000,"Trego County, Kansas",4128,9292
